Song_Details
andaaz kissi se tum pyar karo
baazigar baazigar o baazigar
baazigar ye kaali kaali aankhen
bade miyan chote miyan kisi disco mein jaaye
chandni mere hathon mein
chhoti bahen jaoo kahan bataye dil
mere jeevan saathi dil ke chain
mohabbatein homka hamee say churalo
pardes do dil mile rahe hain
quayamat se quayamat tak aye mere hum safar
razdhaneer buke tomare legeche
rehna hai tere mein ae bolo bolo
rehna hai tere mein zara zara
roja bharat humko jaan se pyara hai
sirf tum dilbur dilbur
